id;isbn;nome;editora;capa;capa_content_type;tombo
1;JSON red copy;bandwidth encryption;Future;../fake-data/blob/hipster.png;image/png;12050
2;wireless depo;blue Officer;website Networked motivating;../fake-data/blob/hipster.png;image/png;95424
3;monitoring So;Manager Bedfordshire;Virtual;../fake-data/blob/hipster.png;image/png;72714
4;Movies Agent ;Director Motorway Sleek;Bedfordshire optimizing Syrian Pound;../fake-data/blob/hipster.png;image/png;16490
5;middleware Av;New Zealand;Soft Product;../fake-data/blob/hipster.png;image/png;96999
6;connecting;navigating;program mint green;../fake-data/blob/hipster.png;image/png;64227
7;Officer Check;payment;enterprise Colorado copying;../fake-data/blob/hipster.png;image/png;76385
8;quantify conn;primary magenta;Wyoming parse port;../fake-data/blob/hipster.png;image/png;97448
9;input Credit ;AI complexity European Unit of Account 9(E.U.A.-9);programming;../fake-data/blob/hipster.png;image/png;64588
10;Shoes Rufiyaa;monitor;California Representative mission-critical;../fake-data/blob/hipster.png;image/png;7606
